COD_MUN,MUNICIPIO,SIGLA_UF,IDSC-BR_2024,Classificação_2024
1712504,Marianópolis do Tocantins ,TO,"41,13",4351
1712702,Mateiros ,TO,"47,18",2599
1712801,Maurilândia do Tocantins ,TO,"47,17",2603
1713205,Miracema do Tocantins ,TO,"40,72",4462
1713304,Miranorte ,TO,"40,39",4561
1713601,Monte do Carmo ,TO,"37,31",5162
1713700,Monte Santo do Tocantins ,TO,"44,38",3456
1713809,Palmeiras do Tocantins ,TO,"42,6",3951
1713957,Muricilândia ,TO,"40,49",4531
1714203,Natividade ,TO,"40,66",4481
1714302,Nazaré ,TO,"42,25",4038
1714880,Nova Olinda ,TO,"39,98",4640
1715002,Nova Rosalândia ,TO,"39,61",4732
1715101,Novo Acordo ,TO,"38,79",4908
1715150,Novo Alegre ,TO,"39,84",4668
1715259,Novo Jardim ,TO,"37,94",5065
1715507,Oliveira de Fátima ,TO,"50,18",1738
1715705,Palmeirante ,TO,"37,76",5103
1715754,Palmeirópolis ,TO,"44,68",3376
1716109,Paraíso do Tocantins ,TO,"46,97",2662
1716208,Paranã ,TO,"33,8",5466
1716307,Pau D'Arco ,TO,"38,34",4993
1716505,Pedro Afonso ,TO,"44,25",3489
1716604,Peixe ,TO,"43,84",3610
1716653,Pequizeiro ,TO,"37,91",5075
1716703,Colméia ,TO,"41,35",4296
1717008,Pindorama do Tocantins ,TO,"38,73",4925
1717206,Piraquê ,TO,"48,96",2078
1717503,Pium ,TO,"41,53",4257
1717800,Ponte Alta do Bom Jesus ,TO,"41,33",4307
1717909,Ponte Alta do Tocantins ,TO,35,5392
1718006,Porto Alegre do Tocantins ,TO,"37,8",5095
1718204,Porto Nacional ,TO,"52,78",1074
1718303,Praia Norte ,TO,"45,42",3141
1718402,Presidente Kennedy ,TO,"39,99",4633
1718451,Pugmil ,TO,"45,85",3024
1718501,Recursolândia ,TO,"37,86",5082
1718550,Riachinho ,TO,"39,23",4816
1718659,Rio da Conceição ,TO,"49,1",2042
1718709,Rio dos Bois ,TO,"44,84",3319
1718758,Rio Sono ,TO,"40,08",4619
1718808,Sampaio ,TO,"43,83",3613
1718840,Sandolândia ,TO,"46,69",2763
1718865,Santa Fé do Araguaia ,TO,"44,01",3553
1718881,Santa Maria do Tocantins ,TO,"43,64",3665
1718899,Santa Rita do Tocantins ,TO,"43,21",3776
1718907,Santa Rosa do Tocantins ,TO,"43,36",3743
1719004,Santa Tereza do Tocantins ,TO,"41,33",4306
1720002,Santa Terezinha do Tocantins ,TO,"45,43",3137
1720101,São Bento do Tocantins ,TO,"43,85",3605
1720150,São Félix do Tocantins ,TO,"50,07",1763
1720200,São Miguel do Tocantins ,TO,"41,13",4350
1720259,São Salvador do Tocantins ,TO,"44,72",3366
1720309,São Sebastião do Tocantins ,TO,"43,29",3755
1720499,São Valério ,TO,"40,62",4491
1720655,Silvanópolis ,TO,"40,78",4447
1720804,Sítio Novo do Tocantins ,TO,"42,25",4039
1720853,Sucupira ,TO,"49,95",1793
1720903,Taguatinga ,TO,"38,11",5036
1720937,Taipas do Tocantins ,TO,"40,89",4424
1720978,Talismã ,TO,"50,13",1748
1721000,Palmas ,TO,"52,94",1039
1721109,Tocantínia ,TO,"40,58",4500
1721208,Tocantinópolis ,TO,"46,33",2879
1721257,Tupirama ,TO,"42,02",4110
1721307,Tupiratins ,TO,"45,29",3184
1722081,Wanderlândia ,TO,"38,57",4949
1722107,Xambioá ,TO,"39,7",4705
2100055,Açailândia ,MA,"39,23",4814
2100105,Afonso Cunha ,MA,"44,54",3406
2100154,Água Doce do Maranhão ,MA,"40,51",4521
2100204,Alcântara ,MA,"40,52",4516
2100303,Aldeias Altas ,MA,"28,71",5569
2100402,Altamira do Maranhão ,MA,"38,73",4922
2100436,Alto Alegre do Maranhão ,MA,"34,01",5455
2100477,Alto Alegre do Pindaré ,MA,"35,6",5337
